名称,位置,建面,销售状态,类型,价格
群贤道九號,南二环与群贤路交汇处向南300米,建面 147~219m²,在售,普通住宅,13000
高山流水和城,太白南路与丈八东路交汇处,建面 122~125m²,在售,普通住宅,10000
罗马景福城,丈八东路与丈八四路交汇处西北角,建面 49m²,在售,普通住宅,7800
逸翠园,锦业二路10号,建面 388m²,在售,别墅,19000
中建国熙台,科技路与团结南路十字西北角,建面 213~222m²,在售,普通住宅,14000
建邦华庭,科技六路与太白南路交汇处西南角,建面 152~181m²,在售,普通住宅,18000
中大国际九号,科技三路9号,建面 237~405m²,在售,普通住宅,39300
嘉禾广运,丈八五路与瞪羚路十字东南角,建面 93m²,在售,普通住宅,7800
鸿基新城,丈八北路和科技四路交汇处西北角,建面 86~88m²,在售,普通住宅,4300
晶鑫华庭,大寨路与沣惠南路十字向西200米路南,建面 64~136m²,在售,普通住宅,9000
坤元TIME,太白南路与电子三路交汇处路西,建面 97~131m²,在售,普通住宅,15000
满堂悦MOMA,锦业路与西三环交汇处西南角,,在售,普通住宅,8500
罗马西西里,丈八六路与西户公路交叉口西侧,建面 124~152m²,在售,普通住宅,6600
易道郡玫瑰公馆,丈八北路6号,建面 145~350m²,在售,普通住宅,13000
南飞鸿十年城,科技二路西段与西三环交汇东南角,建面 94~95m²,在售,普通住宅,9500
永和璞玉,丈八北路与科技四路十字向南50米路东,建面 47~225m²,在售,普通住宅,10000
高新尚居,西三环与科技八路交汇处东南角,建面 82m²,在售,普通住宅,4750
东方米兰国际城,富鱼路经十三路交汇处西南角,建面 176~209m²,在售,普通住宅,11000
绿地中心,锦业路与丈八二路十字,,在售,写字楼,20000
中铁西安中心,锦业一路与丈八一路交汇处东南角,,在售,写字楼,22000
CROSS万象汇,高新六路与科技一路十字东南角,,在售,写字楼,13000
摩尔中心,沣惠南路与科技六路交汇处,,在售,写字楼,12000
融城云谷,科技三路与沣惠南路交汇处往西200米,,在售,写字楼,12500
宝德云谷国际,锦业一路与丈八三路十字西北角,,在售,写字楼,11600
融城东海,南三环与丈八六路十字西南角,,在售,写字楼,8500
中投国际,锦业一路与丈八二路十字向东100米,,在售,写字楼,15000
荣禾云图中心,太白南路与电子二路交汇处东北角,建面 1300m²,在售,写字楼,9500
泰华金贸国际,沣惠南路与科技二路十字西南角,,在售,写字楼,13500
GT-Tower西安国际人才大厦,团结南路12号高新医院北侧,,在售,写字楼,15000
高新NEWORLD,团结南路与科技三路东北角,,在售,写字楼,10000
CA创意时代中心,科技二路与团结南路十字西南角,,在售,写字楼,14000
启迪清扬时代,科技二路与沣惠南路十字西北角,,在售,写字楼,10000
锦业时代,锦业路东段32号,,在售,写字楼,13500
高新大都荟,科技路与高新四路十字西北角,,在售,写字楼,12000
高科尚都,锦业路与丈八五路交汇处向北100米,,在售,写字楼,10000
汇豪树中心,沣惠南路与科技三路交汇处向西150米,,在售,写字楼,12000
睿中心,团结南路与唐兴路十字交汇处西南角,,在售,写字楼,15000
国瑞西安金融中心,锦业一路与丈八一路交汇处东南角,,在售,写字楼,0
